nm_habs,cod_an
1094,id_0307
5536,id_5382
163,id_7135
4641,id_7074
1007,id_2426
1969,id_1452
522,id_8079
102,id_0188
10114,id_3896
350,id_1368
128,id_6068
3232,id_3012
34,id_5623
592,id_7510
362,id_0127
4137,id_1735
2190,id_2681
59,id_6374
2384,id_0964
65,id_4484
192,id_0987
33732,id_2464
2256,id_6027
1090,id_6695
243134,id_1700
329,id_3912
8257,id_7108
313,id_7961
16569,id_1461
202,id_3443
5116,id_4159
18252,id_5703
6065,id_1287
10869,id_6278
125,id_2524
128,id_1115
614,id_0504
1738,id_3843
16083,id_4353
126,id_4075
14,id_4307
32,id_3783
6648,id_1453
12918,id_3864
3724,id_2360
1533,id_3151
1852,id_4142
2956,id_4667
24704,id_4998
7030,id_7430
1978,id_4706
984,id_6560
793,id_4001
869,id_4007
396,id_2562
358,id_2399
131,id_6132
193,id_3423
87,id_6765
314,id_6871
1856,id_4698
1002,id_6372
393,id_6100
327,id_4646
299,id_7064
659,id_2266
480,id_2038
82,id_5566
13960,id_2954
166,id_2833
168,id_0665
311,id_4320
177,id_5031
3814,id_5463
379,id_7227
1544,id_7944
206,id_5489
200,id_7491
1146,id_4299
5870,id_6932
195,id_2703
3081,id_2631
289,id_3150
2710,id_5005
129,id_6312
31350,id_0566
3767,id_4736
548,id_2022
5497,id_3419
53,id_0647
7929,id_2027
44558,id_2367
17,id_2734
1341,id_4463
856,id_2443
1275,id_0294
78614,id_4816
147,id_1060
54,id_7367
1001,id_4300
651,id_7714
55494,id_7891
4208,id_6371
786,id_2543
2141,id_6847
121,id_4696
86,id_4923
380,id_5362
157,id_5753
166,id_3738
669,id_6426
253,id_4118
336,id_6443
342,id_4091
970,id_0246
7750,id_4253
605,id_7555
1038,id_1976
1123,id_6461
57,id_0768
1952,id_1880
272,id_0630
5246,id_0573
34426,id_6874
776,id_7415
1833,id_3047
365,id_4181
161,id_0056
1677,id_5376
206,id_2247
1956,id_7593
401,id_0070
2719,id_5780
667,id_5207
1047,id_0416
1308,id_0844
309,id_1268
15740,id_3357
464,id_1755
1988,id_2310
337,id_4343
4609,id_0024
319,id_7406
3587,id_5953
62,id_6599
79,id_8044
80,id_0516
10306,id_4308
15964,id_1210
1040,id_6541
4392,id_0057
4112,id_3259
1533,id_6825
578,id_4578
1807,id_7242
4961,id_4366
16223,id_0860
2052,id_2395
293,id_4740
337,id_1085
119,id_7894
39178,id_2943
3137,id_2493
189,id_3381
476,id_2900
150,id_1525
464,id_3142
483,id_5826
8298,id_1753
595,id_6385
2359,id_5550
4794,id_3124
2028,id_7871
1496,id_1448
1514,id_2848
21075,id_4259
703,id_5264
69,id_2065
2391,id_7705
6769,id_4074
343,id_5396
164,id_1512
642,id_4708
202,id_0667
725,id_2858
3294,id_3934
