fecha,consumo_gas,consumo_gas_lag_1,consumo_gas_lag_15,consumo_gas_rolling_window_8,consumo_gas_rolling_window_8_std,consumo_gas_rolling_window_15_std,temperatura_rolling_window_3,temperatura_lag_14,temperatura_lag_28,velocidad_viento_rolling_window_3,velocidad_viento_rolling_window_8,velocidad_viento_rolling_window_15,es_festivo,dia_semana,festivo_previo,festivo_siguiente,semana_anyo
2019-12-16,953.76,832.66,825.13,954.7325,89.82701959878118,82.45002631897698,13.559027777777777,11.127083333333333,10.785416666666668,7.598611111111109,8.235416666666667,8.429803921568627,1,0,0.0,0.0,51
2019-12-17,955.48,953.76,982.92,952.5425,89.53111394529577,81.95764898206063,12.677777777777777,9.34375,8.669565217391305,5.9291666666666645,7.8291666666666675,8.454248366013072,0,1,1.0,1.0,51
2019-12-18,952.85,955.48,1025.19,942.75,83.80100868809802,79.14827199629818,13.105555555555556,12.720588235294118,8.04375,5.890277777777776,7.89375,8.269248366013072,1,2,0.0,1.0,51
2019-12-19,932.0,952.85,1031.28,928.515,72.7195662410437,75.27829156504802,13.420833333333334,12.510416666666666,10.61086956521739,5.630555555555553,7.839583333333333,7.490833333333334,1,3,1.0,1.0,51
2019-12-20,867.24,932.0,981.12,905.6012499999999,55.65032677031372,76.16104946255727,13.7875,12.666666666666666,12.289583333333333,6.591666666666664,7.684895833333334,7.331111111111111,1,4,1.0,1.0,51
2019-12-21,730.54,867.24,866.24,881.04125,81.97633951983511,90.75823440537478,14.408333333333331,11.61875,14.487499999999999,7.223611111111109,6.9484375,7.464444444444444,1,5,1.0,0.0,51
2019-12-22,729.59,730.54,842.76,869.265,96.80047343449675,101.64859755901351,16.04236111111111,9.927083333333334,12.700000000000001,11.529166666666663,7.951041666666667,8.33361111111111,0,6,1.0,1.0,51
2019-12-23,772.5,729.59,874.59,861.745,102.23464439359866,107.57790617567744,15.625,12.545833333333334,12.15625,11.765277777777776,8.409895833333334,8.440833333333334,1,0,0.0,1.0,52
2019-12-24,669.45,772.5,973.0,826.2062500000001,114.3740994578125,121.55624603254168,14.294949494949494,10.202083333333333,13.014583333333334,11.35340909090909,8.356486742424243,8.255126262626263,1,1,1.0,1.0,52
2019-12-25,610.42,669.45,1031.19,783.07375,123.36863759104791,133.37779418950194,12.565088383838384,9.427083333333334,16.004166666666666,7.607575757575755,8.580445075757575,8.422070707070707,1,2,1.0,1.0,52
2019-12-26,748.24,610.42,1045.88,757.4975000000001,102.60534917133378,125.14334984138709,12.074999999999998,11.5875,15.508333333333333,6.713131313131311,8.71846590909091,8.446237373737373,1,3,1.0,1.0,52
2019-12-27,827.0,748.24,1050.55,744.3725000000001,81.67562475164382,110.34023900126886,11.625189393939394,16.974999999999998,15.072916666666666,7.337499999999999,8.996590909090909,8.327348484848484,1,4,1.0,1.0,52
2019-12-28,799.0,827.0,927.02,735.8425,69.69526295646882,106.53647100987568,10.74324494949495,16.772916666666667,13.545833333333334,6.836111111111109,8.672111742424242,7.84040404040404,1,5,1.0,0.0,52
2019-12-29,809.0,799.0,823.8,745.6500000000001,74.21630028889429,106.50413753644006,10.097222222222221,12.612499999999999,14.0,6.224999999999998,8.343986742424242,7.444848484848484,0,6,1.0,1.0,52
2019-12-30,868.0,809.0,832.66,762.9512500000001,85.25034351627419,107.36582788809122,10.265972222222222,11.291666666666666,11.127083333333333,5.363888888888887,6.684611742424243,7.433737373737374,1,0,0.0,1.0,1
2019-12-31,806.0,868.0,953.76,767.1387500000001,86.5984843875121,100.26977929565813,10.214583333333332,14.129166666666668,9.34375,5.9611111111111095,6.495549242424243,7.51290404040404,1,1,1.0,1.0,1
2020-01-01,770.0,806.0,955.48,779.7075,77.17918811811457,91.4567721359321,9.454166666666666,13.895833333333334,12.720588235294118,6.1916666666666655,6.408333333333333,7.497348484848485,1,2,1.0,1.0,1
2020-01-02,962.0,770.0,952.85,823.655,66.35147258565992,92.62367784802778,8.527083333333334,12.237499999999999,12.510416666666666,6.543055555555553,6.285416666666666,7.56429292929293,1,3,1.0,1.0,1
2020-01-03,996.22,962.0,932.0,854.6524999999999,82.13414319618413,100.62634425011599,7.923611111111111,15.229166666666666,12.666666666666666,6.409722222222219,6.381770833333334,7.668737373737374,1,4,1.0,0.0,1
2020-01-04,904.02,996.22,867.24,864.28,82.93982465791424,102.86561053835517,7.909722222222221,15.758333333333333,11.61875,7.32222222222222,6.402604166666666,7.643459595959596,0,5,1.0,0.0,1
2020-01-05,884.88,904.02,730.54,875.015,78.73469139185893,103.12606535322719,8.09513888888889,17.139583333333334,9.927083333333334,8.152777777777775,6.779166666666667,7.750126262626263,0,6,0.0,1.0,1
